,repo,user,pr_title,pr_body,commits
0,tensorflow/tensorflow,nluehr,Patch absl for cuda 11.6 compatibility.,"Works around the following compiler errors.
```
error: expression must have a constant value
note #2721-D: expression cannot be interpreted
```
Attn: @sanjoy ",1
1,tensorflow/tensorflow,sachinmuradi,[oneDNN] Upgrade oneDNN version to 2.5-rc,This PR is to upgrade oneDNN version to 2.5-rc.,3
2,tensorflow/tensorflow,Srini511,[oneDNN] Making a slight tweak to the cost model based on benchmarking.,This PR tweaks the cost model based on recent benchmarking.,1
3,tensorflow/tensorflow,NAgarwalla,Explicitly reset interpreter to prevent memory leaks when using delegate,"Internally at Broadcom, we ran into a memory leak when running the label_image app using an external HW delegate.  The delegate was freed/released before the some of the graph data, causing our libraries to report an memory leak.

The fix, calling ""Interpreter.reset()"" is already done in other test apps.  E.g. see: LINK by @terryheo 

Change-Id: I884cde7e31d84b1bcd7b90fe77eb4b2321f3df0c",1
4,tensorflow/tensorflow,SamuelMarks,"[*.h,*.hpp,*.cpp,*.proto] clang-format","`clang-format` 13.0.0 at 9ebfeab

```
$ fd -eh -ec -ehpp -ecpp -eproto -x clang-format -i --style=Google {} \;
```

---

**Related**:

   - LINK does a bunch of auto format and auto linting
   - My recently merged PR: #53329
   - My #53360
   - My #53374

**Disadvantages**:

  - Impact just about every file in the codebase
  - Require open PRs to be modified and forks to be updated

**Mitigation of disadvantages**:

  - To avoid stepping on toes, one can write a pull request scanner to avoid touching any file that has a current pull request lodged against it. I'm happy to write this script, but will also need someone to run this internally so it knows what files are being affected by non public PRs

**Advantages**:

  - Easier for automated tooling to make automated fixes (whitespace / prettyprinting issues don't get in the way)
  - More consistent codebase (which is somewhat of a quality metric)",1
5,tensorflow/tensorflow,SamuelMarks,"[*.py,*.ipynb] blacken","Using version 21.12b0 from Python 3.10:

```sh
$ python -m black .
[…]
All done! ✨ 🍰 ✨
2767 files reformatted, 77 files left unchanged.
```

---

**Related**:

   - LINK does a bunch of auto format and auto linting
   - My recently merged PR: #53329
   - My #53360

**Disadvantages**:

  - Impact just about every file in the codebase
  - Require open PRs to be modified and forks to be updated

**Mitigation of disadvantages**:

  - To avoid stepping on toes, one can write a pull request scanner to avoid touching any file that has a current pull request lodged against it. I'm happy to write this script, but will also need someone to run this internally so it knows what files are being affected by non public PRs

**Advantages**:

  - Easier for automated tooling to make automated fixes (whitespace / prettyprinting issues don't get in the way)
  - More consistent codebase (which is somewhat of a quality metric)",1
6,tensorflow/tensorflow,lipracer,[MHLO] eliminate redundant transpose,Simplify Transpose(Tsanspose(X)) to Transpose(X),1
7,tensorflow/tensorflow,nSircombe,Update Compute Library to 21.11 release,"Updates the version of Compute Library for the Arm architecture to 21.11
This release adds support for bf16 fast-maths-mode to additional
oneDNN primitives - inner product and matmul.

oneDNN 2.4 build is patched to expose this functionality to TensorFlow

`TF_ENABLE_ONEDNN_OPTS` flag (runtime selection of oneDNN backend) is
enabled on AArch64 for builds with `--config=mkl_aarch64` set.",1
8,tensorflow/tensorflow,Kh4L,[Grappler] Add enforced_layout parameter for LayoutOptimizer,"This PR adds an option to enforce a specific layout in the grappler `LayoutOptimizer`.

The `enforce_layout` can be set to either `NHCW` or `NCHW`.  When set, the layout optimizer will attempt to convert all the layout sensitive operations to the specified layout (thus, not relying on `NumConvOnDeviceWithDataTypeOverThreshold` anymore).",1
9,tensorflow/tensorflow,yongtang,Fix wrong output of tf.stack with 0-dimension tensor,"This PR tries to address the issue raised in #53300 where
tf.stack will silently output wrong result with 0-dimension tensor.
The issue was that the shape check was skipped when num of output elements
was zero. This PR fixed the issue.

This PR fixes #53300.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>",3
