,repo,user,pr_title,pr_body,commits
0,httpie/httpie,sebastianczech,Solution for issue 1098 - prompted passwords are not properly persisted into sessions,"Pull request is proposition of solution for the issue #1098 , where prompted passwords are not properly persisted into sessions. Below is an example how it works after applying solution: 

[![asciicast](LINK

This is my first contribution into open source, so all feedback is more than welcome ;)",6
1,httpie/httpie,isidentical,Implement new `pie` and `pie-light` styles,"Resolves #1237.

Demos:
[![asciicast](LINK
[![asciicast](LINK",1
2,httpie/httpie,isidentical,Improve download time,Based on #1232.,11
3,httpie/httpie,isidentical,Fix snapcraft packaging,We now bundle both `pip` and `setuptools` (needed for plugin installation). As well as export the `httpie` command itself.,1
4,httpie/httpie,isidentical,Improve startup time when pyOpenSSL is available on the environment,Based on #1232 ,11
5,httpie/httpie,isidentical,Improve startup time when pyOpenSSL is available on the environment,Based on top of #1230 for the time being.,3
6,httpie/httpie,isidentical,Benchmarking infrastructure,"Don't review yet, this is a draft.",5
7,httpie/httpie,isidentical,Ignore crashes that happen on the 3rd party plugins,Fixes #1204 ,2
8,httpie/httpie,isidentical,Don't inconsistently add XML declarations,Resolves #1156,1
9,httpie/httpie,isidentical,Automatically enable --stream on server sent events,Resolves #376.,4
10,httpie/httpie,isidentical,Formalize @ suffix for all operators,Resolves LINK,1
11,httpie/httpie,isidentical,Add nested JSON syntax to the HTTPie DSL,Implement nested JSON syntax to the HTTPie DSL (through JSON form notation). Resolves #78 ,6
12,httpie/httpie,isidentical,brew: add multidict,"multidict is needed for multiple headers with the same name, other than that the new `importlib-metadataa` dependency is not needed since brew packages for 3.10 (it is in the stdlib since 3.8+)!",1
13,httpie/httpie,isidentical,Improve startup time with lazy loading some args,Fixes #1211,5
14,httpie/httpie,isidentical,Add httpie --version,`httpie --version` now also returns the version of HTTPie CLI. (just like `http --version`).,1
15,httpie/httpie,isidentical,Fix packit CI,"Currently, the package in the Fedora repositories doesn't match the master, since we've added a new command. But packit doesn't know that and tries to build from the master with the 2.6.0 release spec file. This patch reconfigures packit to use our own locally hosted specfile.",1
16,httpie/httpie,isidentical,Support ==@ syntax for query parameter values from file,"Superseeds #661
Fixes #605 
Co-authored-by: Vladimir Berkutov <vladimir.berkutov@gmail.com>",1
17,httpie/httpie,isidentical,Implement Bearer Auth,Resolves #1215,1
18,httpie/httpie,isidentical,Proper JSON handling for :=/:=@,Fixes #1212 ,3
19,httpie/httpie,janbrasna,docs: Consistent userdir/name example,Aligning with the rest of the text placeholders…,1
